,CAUSE,,,EFFECT,
,Required rate of return or YTM = coupon rate,,,Bond sells at par value,
,Required rate of return or YTM > coupon rate,,,Bond sells at a discount,
,Required rate of return or YTM < coupon rate,,,Bond sells at a premium,
